"Exercise Name";"Type of Activity";"Type of Equipment";"Body Part";"Type";"Muscle Groups Activated";"Instructions"
"Romanian Deadlift";"Strength";"Barbell";"Lower Body";"Pull";"Hamstrings, Glutes, Lower Back";"Hold a barbell in front of your thighs. Bend at the hips to lower the bar down your legs, then return to standing."
"Arnold Press";"Strength";"Dumbbells";"Upper Body";"Push";"Deltoids, Triceps";"Hold dumbbells at shoulder height, palms facing you. Rotate your arms as you press the weights overhead, ending with palms facing forward."
"Landmine Press";"Strength";"Barbell";"Upper Body";"Push";"Pectorals, Deltoids, Triceps";"Hold the end of a barbell anchored in a landmine attachment. Press the bar overhead with one arm."
"Tuck Jumps";"Cardio/Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Calves";"Jump straight up and tuck your knees towards your chest, then land softly and repeat."
"Windshield Wipers";"Strength";"Bodyweight";"Core";"Hold";"Obliques, Rectus Abdominis";"Lie on your back with legs extended towards the ceiling. Rotate your legs side to side like windshield wipers."
"Dumbbell Shrugs";"Strength";"Dumbbells";"Upper Body";"Hold";"Trapezius";"Stand with a dumbbell in each hand at your sides. Shrug your shoulders towards your ears, then lower them back down."
"Sled Push";"Cardio/Strength";"Sled";"Full Body";"Push";"Quadriceps, Glutes, Shoulders";"Push a weighted sled across a flat surface, keeping your back straight and core tight."
"Cable Bicep Curl";"Strength";"Cable Machine";"Upper Body";"Pull";"Biceps, Forearms";"Stand facing a cable machine with the handle attached to a low pulley. Curl the handle towards your shoulders, then lower it back down."
"Dumbbell Kickback";"Strength";"Dumbbells";"Upper Body";"Push";"Triceps";"Bend at the waist with a dumbbell in each hand. Extend your arms straight back, then return to the starting position."
"Flutter Kicks";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Lie on your back with legs extended. Lift your feet off the ground and alternate kicking them up and down."
"High Knees";"Cardio";"Bodyweight";"Full Body";"Push";"Quadriceps, Hip Flexors, Calves";"Run in place while driving your knees towards your chest as high as possible."
"Sledgehammer Slams";"Cardio/Strength";"Sledgehammer";"Full Body";"Push";"Core, Shoulders, Glutes";"Lift a sledgehammer overhead and slam it down onto a tire or other soft surface."
"Lateral Step-Ups";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Step up onto a bench or box laterally with one foot, then bring the other foot up to meet it. Step back down and repeat."
"Cable Chest Press";"Strength";"Cable Machine";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Stand in front of a cable machine with handles at chest height. Press the handles forward, then return to the starting position."
"TRX Rows";"Strength";"TRX";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Grip the TRX handles and lean back, keeping your body straight. Pull your chest towards the handles, then lower back down."
"Medicine Ball Russian Twists";"Strength";"Medicine Ball";"Core";"Twist";"Obliques, Rectus Abdominis";"Sit on the floor with knees bent, holding a medicine ball. Twist your torso to each side, tapping the ball on the floor."
"Pendlay Row";"Strength";"Barbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Bend over with a barbell on the floor. Row the barbell to your torso, then lower it back to the floor each rep."
"Side Plank with Leg Lift";"Strength";"Bodyweight";"Core";"Hold";"Obliques, Glutes, Shoulders";"In a side plank position, lift your top leg towards the ceiling, then lower it back down."
"Hip Abduction";"Strength";"Machine";"Lower Body";"Push";"Glutes, Hip Flexors";"Sit on a hip abduction machine and press your legs apart against the resistance, then return to the starting position."
"Dumbbell Front Raise";"Strength";"Dumbbells";"Upper Body";"Push";"Deltoids";"Stand with a dumbbell in each hand, palms facing your thighs. Raise your arms in front of you until they are parallel to the floor."
"Chin-Ups";"Strength";"Bodyweight";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Grip a pull-up bar with an underhand grip. Pull your body up until your chin is above the bar, then lower back down."
"Box Squat";"Strength";"Barbell";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand in front of a box with a barbell on your shoulders. Squat down until you sit on the box, then stand back up."
"Battle Rope Waves";"Cardio/Strength";"Ropes";"Upper Body";"Push";"Deltoids, Forearms, Core";"Hold the ends of the ropes and create waves by alternating your arms up and down rapidly."
"Zercher Squat";"Strength";"Barbell";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Hold a barbell in the crook of your elbows. Squat down until your thighs are parallel to the floor, then push back up."
"Walking Lunges";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Step forward into a lunge, then bring your back foot forward to step into the next lunge."
"Kettlebell Snatch";"Strength";"Kettlebell";"Full Body";"Push";"Glutes, Shoulders, Triceps";"Swing a kettlebell between your legs, then pull it overhead in one motion."
"Single-Leg Glute Bridge";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Hamstrings";"Lie on your back with one foot on the ground and the other leg extended. Lift your hips towards the ceiling."
"TRX Push-Ups";"Strength";"TRX";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Perform push-ups with your hands in the TRX handles, keeping your body straight."
"Machine Leg Curl";"Strength";"Machine";"Lower Body";"Pull";"Hamstrings";"Sit on a leg curl machine and curl the pad down towards your glutes, then return to the starting position."
"Incline Bench Press";"Strength";"Barbell";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on an incline bench with a barbell. Press the bar up and together over your chest, then lower it back down."
"Resistance Band Deadlift";"Strength";"Resistance Band";"Lower Body";"Pull";"Glutes, Hamstrings, Lower Back";"Stand on a resistance band with feet shoulder-width apart. Bend at the hips and knees to lift the band off the ground."
"Decline Bench Press";"Strength";"Barbell";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on a decline bench with a barbell. Lower the bar to your chest, then press it back up."
"Dumbbell Step-Up";"Strength";"Dumbbells";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Step onto a bench with one foot while holding dumbbells, then bring the other foot up to meet it."
"Cable Lateral Raise";"Strength";"Cable Machine";"Upper Body";"Push";"Deltoids";"Stand next to a cable machine with the handle at the low pulley. Raise your arm out to the side until it is parallel to the floor."
"Reverse Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Step backward into a lunge, lowering your hips until both knees are at a 90-degree angle."
"Toe Touches";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Obliques";"Lie on your back with legs extended towards the ceiling. Reach your hands towards your toes."
"Machine Leg Extension";"Strength";"Machine";"Lower Body";"Push";"Quadriceps";"Sit on a leg extension machine and extend your legs until they are straight, then return to the starting position."
"Dumbbell Pullover";"Strength";"Dumbbell";"Upper Body";"Pull";"Latissimus Dorsi, Pectorals, Triceps";"Lie on a bench holding a dumbbell over your chest. Lower the weight behind your head, then pull it back up."
"Barbell Shrug";"Strength";"Barbell";"Upper Body";"Hold";"Trapezius";"Stand with feet shoulder-width apart, holding a barbell. Shrug your shoulders towards your ears, then lower them back down."
"T-Bar Row";"Strength";"Barbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Stand with feet shoulder-width apart, holding a T-bar. Row the weight towards your torso, then lower it back down."
"Bulgarian Deadlift";"Strength";"Dumbbells";"Lower Body";"Pull";"Hamstrings, Glutes, Lower Back";"Stand on one leg holding a dumbbell in each hand. Bend at the hips to lower the weights, then lift back up."
"Pistol Squat";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand on one leg with the other leg extended in front of you. Lower your hips until your thigh is parallel to the floor, then push back up."
"Seated Leg Curl";"Strength";"Machine";"Lower Body";"Pull";"Hamstrings";"Sit on a leg curl machine and curl the pad down towards your glutes, then return to the starting position."
"Russian Kettlebell Swing";"Cardio/Strength";"Kettlebell";"Core";"Push";"Glutes, Hamstrings, Shoulders";"Swing the kettlebell between your legs and up to shoulder height, driving the movement with your hips."
"Incline Dumbbell Curl";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Sit on an incline bench with a dumbbell in each hand. Curl the weights up towards your shoulders, then lower them back down."
"Decline Sit-Ups";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Lie on a decline bench and sit up, bringing your chest towards your knees."
"Side Plank Dips";"Strength";"Bodyweight";"Core";"Hold";"Obliques, Shoulders";"Start in a side plank position. Lower your hips towards the floor, then lift them back up."
"Single Arm Kettlebell Swing";"Strength";"Kettlebell";"Core";"Push";"Glutes, Hamstrings, Shoulders";"Swing the kettlebell between your legs and up to shoulder height with one hand, driving the movement with your hips."
"Jumping Squats";"Cardio/Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Calves";"Lower into a squat, then explode upwards into a jump. Land softly and repeat."
"Cable Chest Fly";"Strength";"Cable Machine";"Upper Body";"Push";"Pectorals";"Stand in the middle of a cable machine with handles in each hand. Bring the handles together in front of your chest, then return to the starting position."
"Dumbbell Tricep Extension";"Strength";"Dumbbells";"Upper Body";"Push";"Triceps";"Hold a dumbbell with both hands overhead, then lower it behind your head by bending your elbows. Extend your arms back to the starting position."
"Leg Curl";"Strength";"Machine";"Lower Body";"Pull";"Hamstrings";"Lie face down on a leg curl machine and curl the pad towards your glutes, then return to the starting position."
"One-Arm Push-Up";"Strength";"Bodyweight";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Start in a push-up position with one hand behind your back. Lower your body until your chest nearly touches the floor, then push back up."
"Machine Shoulder Press";"Strength";"Machine";"Upper Body";"Push";"Deltoids, Triceps";"Sit on a shoulder press machine, grasp the handles, and press them overhead until your arms are fully extended."
"Sumo Squat";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand with feet wider than shoulder-width apart, toes pointing out. Lower your hips until your thighs are parallel to the floor, then push back up."
"Resistance Band Squat";"Strength";"Resistance Band";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand on a resistance band with feet shoulder-width apart. Squat down while holding the band at shoulder height."
"One-Legged Squat";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand on one leg with the other leg extended in front of you. Lower your hips until your thigh is parallel to the floor, then push back up."
"Landmine Row";"Strength";"Barbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Place one end of a barbell in a landmine attachment. Row the other end towards your torso with both hands, then lower it back down."
"Superman Exercise";"Strength";"Bodyweight";"Core";"Hold";"Lower Back, Glutes, Hamstrings";"Lie face down on the floor with arms extended. Lift your arms, chest, and legs off the ground simultaneously, then lower them back down."
"Dumbbell Flyes";"Strength";"Dumbbells";"Upper Body";"Push";"Pectorals";"Lie on a bench with a dumbbell in each hand. Lower the weights out to the sides of your chest, then bring them back together over your chest."
"Reverse Fly";"Strength";"Dumbbells";"Upper Body";"Pull";"Rear Deltoids, Trapezius, Rhomboids";"Stand with feet hip-width apart, bend forward at the hips, and raise the dumbbells out to the sides until they are parallel to the floor."
"Cable Kickbacks";"Strength";"Cable Machine";"Lower Body";"Push";"Glutes, Hamstrings";"Attach an ankle strap to a low cable pulley. Kick your leg back while keeping your knee slightly bent, then return to the starting position."
"Kettlebell Push Press";"Strength";"Kettlebell";"Upper Body";"Push";"Deltoids, Triceps";"Hold a kettlebell at shoulder height. Use your legs to help press the kettlebell overhead, then lower it back down."
"Dead Bug";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Lie on your back with arms extended towards the ceiling. Lower opposite arm and leg towards the floor while keeping your back flat."
"Smith Machine Squat";"Strength";"Smith Machine";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand under the bar of a Smith machine. Squat down until your thighs are parallel to the floor, then push back up."
"Reverse Hyperextension";"Strength";"Machine";"Lower Body";"Pull";"Glutes, Hamstrings, Lower Back";"Lie face down on a hyperextension bench with your hips off the end. Lift your legs towards the ceiling, then lower them back down."
"Landmine Twist";"Strength";"Barbell";"Core";"Twist";"Obliques, Rectus Abdominis";"Hold the end of a barbell anchored in a landmine attachment. Rotate the bar side to side while keeping your core tight."
"Machine Row";"Strength";"Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a rowing machine with feet braced. Pull the handles towards your torso, then slowly return to the starting position."
"Seated Calf Raise";"Strength";"Machine";"Lower Body";"Push";"Calves";"Sit on a calf raise machine with the balls of your feet on the platform. Raise your heels as high as possible, then lower them back down."
"Kettlebell Windmill";"Strength";"Kettlebell";"Core";"Twist";"Obliques, Glutes, Hamstrings";"Hold a kettlebell overhead with one arm, then bend at the waist while reaching towards the floor with the other hand."
"Incline Barbell Bench Press";"Strength";"Barbell";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on an incline bench with a barbell. Press the bar up and together over your chest, then lower it back down."
"Kettlebell Goblet Squat";"Strength";"Kettlebell";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Hold a kettlebell at chest level and squat down as if sitting in a chair. Return to standing."
"Dumbbell Thrusters";"Strength";"Dumbbells";"Full Body";"Push";"Quadriceps, Glutes, Shoulders";"Hold a dumbbell in each hand at shoulder height. Squat down, then push through your heels to stand up and press the weights overhead."
"Lying Leg Curl";"Strength";"Machine";"Lower Body";"Pull";"Hamstrings";"Lie face down on a leg curl machine and curl the pad towards your glutes, then return to the starting position."
"Dumbbell Hammer Curl";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Stand with feet shoulder-width apart, holding a dumbbell in each hand with a neutral grip. Curl the weights up towards your shoulders."
"Landmine Squat Press";"Strength";"Barbell";"Full Body";"Push";"Quadriceps, Glutes, Shoulders";"Hold the end of a barbell anchored in a landmine attachment. Squat down, then push through your heels to stand up and press the bar overhead."
"Zottman Curl";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Stand with feet shoulder-width apart, holding a dumbbell in each hand. Curl the weights up with a supinated grip, then rotate your wrists and lower them with a pronated grip."
"Cable Crunch";"Strength";"Cable Machine";"Core";"Hold";"Rectus Abdominis";"Kneel in front of a cable machine with a rope attachment. Crunch down, bringing your elbows towards your knees while keeping your back straight."
"Stability Ball Pike";"Strength";"Stability Ball";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Start in a plank position with your feet on a stability ball. Roll the ball towards your hands by piking your hips towards the ceiling."
"Standing Calf Raise";"Strength";"Bodyweight";"Lower Body";"Push";"Calves";"Stand with the balls of your feet on the edge of a step. Raise your heels as high as possible, then lower them back down."
"Cable Kickback";"Strength";"Cable Machine";"Upper Body";"Push";"Triceps";"Stand facing a cable machine with a handle attached to the low pulley. Extend your arm straight back, then return to the starting position."
"Spider Push-Ups";"Strength";"Bodyweight";"Upper Body";"Push";"Pectorals, Triceps, Deltoids, Obliques";"Start in a high plank position. As you lower your body, bring one knee towards your elbow, then push back up and switch sides."
"Resistance Band Chest Press";"Strength";"Resistance Band";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Attach a resistance band to a sturdy anchor behind you. Press the handles forward until your arms are fully extended."
"One-Arm Dumbbell Row";"Strength";"Dumbbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Place one knee and hand on a bench for support. Row the dumbbell towards your torso with the other hand."
"Incline Chest Press";"Strength";"Dumbbells";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on an incline bench with a dumbbell in each hand. Press the weights up and together over your chest, then lower them back down."
